City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
214,Kodiak,US,57.79,-152.4072,53.11,62,100,9.22,overcast clouds
215,Kochubey,RU,44.3861,46.5825,78.82,50,8,8.16,clear sky
216,Yambio,SS,4.5721,28.3955,77.32,80,34,1.95,scattered clouds
217,Saint Anthony,US,45.0205,-93.218,68.67,72,0,11.5,clear sky
218,Catamarca,AR,-28.4696,-65.7852,52.59,79,1,2.3,clear sky
219,Tiksi,RU,71.6872,128.8694,34.43,99,100,17.31,snow
220,Port Lincoln,AU,-34.7333,135.8667,61.07,67,14,12.15,few clouds
221,Launceston,AU,-41.45,147.1667,67.6,58,100,10.36,overcast clouds
222,Kalmunai,LK,7.4167,81.8167,89.01,56,22,10.6,few clouds
223,Bengkulu,ID,-3.8004,102.2655,79.84,83,86,4.0,light rain
224,Laguna,US,38.421,-121.4238,65.28,80,100,1.01,overcast clouds
225,Belance,PH,16.1833,121.25,77.27,80,84,2.26,broken clouds
226,Cockburn Town,TC,21.4612,-71.1419,81.54,85,100,33.4,overcast clouds
227,Ormara,PK,25.2088,64.6357,80.69,75,4,12.86,clear sky
228,Clyde River,CA,70.4692,-68.5914,30.43,69,100,2.3,overcast clouds
229,Aberdeen,GB,57.1437,-2.0981,59.49,87,98,8.05,overcast clouds
230,Lavrentiya,RU,65.5833,-171.0,40.73,92,100,12.95,overcast clouds
231,Praya,CV,14.9215,-23.5087,75.74,83,40,9.22,scattered clouds
232,Rogers,US,36.3668,-95.5836,82.11,56,0,3.44,clear sky
233,Ordzhonikidze,KZ,52.4411,61.7408,73.83,13,8,3.24,clear sky
234,Shenjiamen,CN,29.9576,122.298,72.77,72,100,12.73,overcast clouds
235,Kununurra,AU,-15.7667,128.7333,105.78,15,64,10.36,broken clouds
236,Orange Cove,US,36.6244,-119.3137,69.6,65,100,5.75,overcast clouds
237,Maumere,ID,-8.6199,122.2111,84.29,66,100,1.81,overcast clouds
238,Lodja,CD,-3.4833,23.4333,78.57,75,100,2.86,overcast clouds
239,Aklavik,CA,68.2191,-135.0107,42.85,68,85,2.3,overcast clouds
240,Chokurdakh,RU,70.6333,147.9167,32.85,98,100,15.14,snow
241,Richards Bay,ZA,-28.783,32.0377,62.26,82,100,12.84,light rain
242,Manzanillo,CU,20.3433,-77.1167,75.2,90,98,3.98,overcast clouds
243,Yinchuan,CN,38.4681,106.2731,77.72,20,7,3.51,clear sky
244,Norman Wells,CA,65.282,-126.8329,51.73,56,100,2.66,overcast clouds
245,Barreirinha,BR,-2.7933,-57.07,75.0,52,60,2.06,broken clouds
246,Yarmouth,US,41.7057,-70.2286,61.0,89,100,1.01,overcast clouds
247,Katsuura,JP,35.1333,140.3,70.14,77,100,20.74,overcast clouds
248,Aksarka,RU,66.5606,67.7975,48.79,88,100,16.13,light rain
249,Awbari,LY,26.5921,12.7805,91.27,12,0,1.81,clear sky
250,Karratha,AU,-20.7377,116.8463,83.41,23,19,10.58,few clouds
251,Mingshui,CN,36.7167,117.5,83.59,37,0,10.27,clear sky
252,Fonte Boa,BR,-2.4959,-66.2662,71.31,96,69,1.95,broken clouds
253,Tete,MZ,-16.1564,33.5867,89.69,31,0,8.05,smoke
254,Lebu,CL,-37.6167,-73.65,44.69,82,32,3.02,scattered clouds
255,Stornoway,GB,58.2093,-6.3865,57.16,95,75,20.71,heavy intensity rain
256,Lompoc,US,34.6391,-120.4579,58.59,93,0,4.61,clear sky
257,Mackay,AU,-21.15,149.2,77.68,78,2,11.01,clear sky
258,Taoudenni,ML,22.6783,-3.9836,88.18,25,3,14.56,clear sky
259,Ossora,RU,59.2353,163.0719,48.58,72,71,27.4,broken clouds
260,Jalu,LY,29.0331,21.5482,91.22,20,0,9.95,clear sky
261,Mercedes,AR,-34.6515,-59.4307,50.79,72,100,6.4,overcast clouds
262,Bobcaygeon,CA,44.5462,-78.542,60.89,93,0,4.45,clear sky
263,Gafanha Da Encarnacao,PT,40.6181,-8.733,68.05,92,0,2.48,clear sky
264,Mar Del Plata,AR,-38.0023,-57.5575,48.87,84,100,10.0,overcast clouds
265,Inhambane,MZ,-23.865,35.3833,79.54,65,59,5.26,broken clouds
266,Charters Towers,AU,-20.1,146.2667,89.26,28,70,8.79,broken clouds
267,Rovnoye,RU,50.7765,46.0509,62.65,77,100,4.59,overcast clouds
268,Saldanha,ZA,-33.0117,17.9442,60.4,58,61,4.72,broken clouds
269,Sombrerete,MX,23.6333,-103.65,55.71,64,10,4.7,clear sky
270,Mecca,SA,21.4267,39.8261,92.17,17,1,3.44,clear sky
271,Bandarbeyla,SO,9.4942,50.8122,88.65,56,36,19.08,scattered clouds
272,Dillon,US,34.4166,-79.3712,73.11,75,0,3.96,clear sky
273,Kapan,AM,39.2075,46.4058,83.14,32,0,6.71,clear sky
274,Paragominas,BR,-2.9667,-47.4833,69.69,99,98,2.24,overcast clouds
275,Nobres,BR,-14.7203,-56.3275,79.25,61,9,3.29,clear sky
276,Tasiilaq,GL,65.6145,-37.6368,34.48,99,100,2.53,light snow
277,Abu Samrah,SY,35.3029,37.1841,78.6,41,0,18.45,clear sky
278,Kavieng,PG,-2.5744,150.7967,83.21,68,27,6.49,scattered clouds
279,Fort Saint James,CA,54.4333,-124.25,44.29,64,13,2.39,few clouds
280,Emerald,AU,-23.5333,148.1667,77.34,61,38,4.76,scattered clouds
281,Mizdah,LY,31.4451,12.9801,81.5,48,6,10.65,clear sky
282,Guerrero Negro,MX,27.9769,-114.0611,71.51,79,99,9.62,overcast clouds
283,Nouadhibou,MR,20.931,-17.0347,73.62,82,83,17.27,broken clouds
284,Beringovskiy,RU,63.05,179.3167,41.22,96,100,28.43,moderate rain
285,San-Pedro,CI,4.7485,-6.6363,74.62,90,100,2.84,overcast clouds
286,San,ML,13.3034,-4.8956,72.63,93,100,12.21,light rain
287,Abha,SA,18.2164,42.5053,75.45,29,0,11.5,clear sky
288,Senanga,ZM,-16.1167,23.2667,78.21,12,41,11.48,scattered clouds
289,Sao Filipe,CV,14.8961,-24.4956,77.74,77,7,9.4,clear sky
290,Cururupu,BR,-1.8283,-44.8683,77.63,79,100,5.46,overcast clouds
291,Cayenne,GF,4.9333,-52.3333,73.44,94,93,0.0,overcast clouds
292,Valparaiso,CL,-33.0393,-71.6273,45.25,77,0,10.11,clear sky
293,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,83,40,14.97,scattered clouds
294,Nanortalik,GL,60.1432,-45.2371,39.47,89,99,17.87,overcast clouds
295,Plettenberg Bay,ZA,-34.0527,23.3716,64.04,52,0,2.98,clear sky
296,Souillac,MU,-20.5167,57.5167,75.58,73,40,14.97,scattered clouds
297,Redding,US,40.5865,-122.3917,64.17,74,40,3.44,scattered clouds
298,Boa Vista,BR,2.8197,-60.6733,73.38,88,75,4.61,broken clouds
299,Port Keats,AU,-14.25,129.55,88.66,51,47,12.5,scattered clouds
300,Tambacounda,SN,13.7539,-13.7586,74.84,96,100,4.29,overcast clouds
301,Coquimbo,CL,-29.9533,-71.3436,50.14,80,0,6.33,clear sky
302,Atambua,ID,-9.1061,124.8925,85.06,54,16,2.35,few clouds
303,Antofagasta,CL,-23.65,-70.4,56.48,80,39,8.28,scattered clouds
304,Fort-Shevchenko,KZ,44.5086,50.263,80.94,26,1,16.71,clear sky
305,Coahuayana,MX,18.7333,-103.6833,74.75,94,100,3.2,overcast clouds
306,Sola,VU,-13.8833,167.55,79.11,81,85,12.68,overcast clouds
307,Vaitape,PF,-16.5167,-151.75,78.96,76,7,20.94,clear sky
308,Port-Gentil,GA,-0.7193,8.7815,78.76,83,75,8.05,broken clouds
309,Holzgerlingen,DE,48.6397,9.0115,44.85,93,0,2.3,clear sky
310,Ardabil,IR,38.2498,48.2933,81.09,21,0,2.06,clear sky
311,Belem De Sao Francisco,BR,-8.7539,-38.9658,68.79,69,0,10.0,clear sky
312,Barra Do Corda,BR,-5.5,-45.25,73.8,74,36,6.04,scattered clouds
313,Necochea,AR,-38.5473,-58.7368,44.33,74,100,8.57,light rain
314,Senador Pompeu,BR,-5.5881,-39.3717,70.97,85,14,3.15,few clouds
315,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.88,57,3,1.21,clear sky
316,Ixtapa,MX,20.7,-105.2,74.95,96,41,2.68,scattered clouds
317,Isangel,VU,-19.55,169.2667,76.48,83,15,4.5,few clouds
318,Kabinda,CD,-6.1333,24.4833,79.92,59,55,3.78,broken clouds
319,Alofi,NU,-19.0595,-169.9187,76.23,78,11,25.3,light rain
320,Novobureyskiy,RU,49.798,129.8774,61.77,47,100,9.82,overcast clouds
321,Ringkobing,DK,56.0901,8.244,53.29,75,32,3.67,scattered clouds
322,Mount Pleasant,US,32.7941,-79.8626,73.99,96,0,0.0,mist
323,Krasnyy Luch,UA,48.1395,38.9371,63.99,53,0,10.09,clear sky
324,Sisimiut,GL,66.9395,-53.6735,35.82,77,100,5.41,overcast clouds
325,Biak,ID,-0.9131,122.8766,81.7,73,100,4.27,overcast clouds
326,Honiara,SB,-9.4333,159.95,75.47,91,100,3.15,light rain
327,Etropole,BG,42.8333,24.0,53.31,63,100,3.0,overcast clouds
328,Bibiani,GH,6.4635,-2.3194,70.88,99,100,0.31,overcast clouds
329,Sawakin,SD,19.1059,37.3321,90.59,44,1,4.16,clear sky
330,Nome,US,64.5011,-165.4064,42.87,71,100,8.05,overcast clouds
331,Faya,SA,18.3851,42.4509,75.72,32,80,1.45,broken clouds
332,Pevek,RU,69.7008,170.3133,38.53,59,100,9.33,overcast clouds
333,Wilmington,US,34.2257,-77.9447,71.51,95,20,0.0,few clouds
334,Usinsk,RU,65.9939,57.5281,41.67,84,100,19.37,overcast clouds
335,Shimoda,JP,34.6667,138.95,69.1,71,98,17.92,overcast clouds
336,Bongandanga,CD,1.5,21.05,73.62,94,100,2.66,overcast clouds
337,Hazorasp,UZ,41.3194,61.0742,82.24,11,0,7.0,clear sky
338,Muriwai Beach,NZ,-36.8167,174.45,59.43,84,0,4.5,clear sky
339,Ahuimanu,US,21.4447,-157.8378,80.31,72,75,12.66,broken clouds
340,Diamantino,BR,-14.4086,-56.4461,75.38,67,11,3.56,few clouds
341,Yueyang,CN,29.3333,113.0919,68.34,49,100,8.41,overcast clouds
342,Uvinza,TZ,-5.1036,30.3911,85.28,30,58,8.9,broken clouds
