City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
315,Sao Felix Do Xingu,BR,72.88,clear sky,-6.6447,-51.995,Rio Xingu Camping
316,Ixtapa,MX,74.95,scattered clouds,20.7,-105.2,hotel la terminal
317,Isangel,VU,76.48,few clouds,-19.55,169.2667,Tanna Lodge
318,Kabinda,CD,79.92,broken clouds,-6.1333,24.4833,Village Mianda Mutole
319,Alofi,NU,76.23,light rain,-19.0595,-169.9187,Taloa Heights
320,Novobureyskiy,RU,61.77,overcast clouds,49.798,129.8774,-
322,Mount Pleasant,US,73.99,mist,32.7941,-79.8626,Best Western Patriots Point
323,Krasnyy Luch,UA,63.99,clear sky,48.1395,38.9371,"КРАСНЫЙ ЛУЧ, ГОСТИНИЦА"
326,Honiara,SB,75.47,light rain,-9.4333,159.95,Heritage Park Hotel
328,Bibiani,GH,70.88,overcast clouds,6.4635,-2.3194,Rodick Hotel
331,Faya,SA,75.72,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
333,Wilmington,US,71.51,few clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
335,Shimoda,JP,69.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
336,Bongandanga,CD,73.62,overcast clouds,1.5,21.05,
340,Diamantino,BR,75.38,few clouds,-14.4086,-56.4461,Hotel Delta
341,Yueyang,CN,68.34,overcast clouds,29.3333,113.0919,Delong Fortune Hotel
345,Santa Cruz Cabralia,BR,70.03,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
346,Constantine,DZ,60.21,scattered clouds,36.365,6.6147,Grand Hotel Cirta
347,Demerval Lobao,BR,74.61,overcast clouds,-5.3583,-42.6764,Pousada Da Paz
350,Maputo,MZ,62.22,moderate rain,-25.9653,32.5892,Pestana Rovuma
352,Bafoulabe,ML,72.45,light rain,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
354,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
358,Peniche,PT,69.3,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
361,Sao Joao Do Paraiso,BR,63.93,scattered clouds,-15.3136,-42.0144,Avenida Palace Hotel
364,Humberto De Campos,BR,77.99,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
368,Tambura,SS,77.7,clear sky,5.6,27.4667,Rikito Lodge
369,Kalamare,BW,61.63,overcast clouds,-22.9337,26.5703,
371,Obzor,BG,64.62,clear sky,42.8167,27.8833,HVD Clubhotel Miramar
374,Kyshtovka,RU,76.62,broken clouds,56.555,76.6271,Uyutnaya Mini-Hotel
