City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Saskylakh,RU,2022-09-20 21:29:15,71.9167,114.0833,24.89,87,100,18.72
135,Arraial Do Cabo,BR,2022-09-20 21:29:16,-22.9661,-42.0278,71.56,78,0,8.05
136,Goroka,PG,2022-09-20 21:29:16,-6.0834,145.3873,60.69,92,91,0.89
137,Eghezee,BE,2022-09-20 21:30:17,50.5851,4.9028,52.14,96,77,2.68
138,Dhidhdhoo,MV,2022-09-20 21:30:18,6.8833,73.1,80.67,79,68,10.22
139,Harbour Breton,CA,2022-09-20 21:30:18,47.4833,-55.7983,53.04,63,15,0.92
140,Kavieng,PG,2022-09-20 21:30:19,-2.5744,150.7967,82.49,74,93,9.4
141,Husavik,IS,2022-09-20 21:26:39,66.0449,-17.3389,52.75,82,64,2.95
142,Port Blair,IN,2022-09-20 21:25:28,11.6667,92.75,80.31,79,78,9.91
143,Tazovskiy,RU,2022-09-20 21:30:21,67.4667,78.7,35.94,86,100,25.03
144,Iranshahr,IR,2022-09-20 21:30:21,27.2025,60.6848,88.14,42,0,0.0
145,Khatanga,RU,2022-09-20 21:30:22,71.9667,102.5,21.45,91,93,6.24
146,Puerto Ayora,EC,2022-09-20 21:25:45,-0.7393,-90.3518,75.16,95,67,8.99
147,Kushiro,JP,2022-09-20 21:30:23,42.975,144.3747,55.09,69,94,4.41
148,Margate,GB,2022-09-20 21:29:15,51.3813,1.3862,60.31,75,99,6.33
149,Maiduguri,NG,2022-09-20 21:30:24,11.8464,13.1603,78.62,73,100,7.45
150,Alihe,CN,2022-09-20 21:30:24,50.5667,123.7167,43.0,71,100,2.21
151,Broken Hill,AU,2022-09-20 21:26:17,-31.95,141.4333,53.17,90,87,24.49
152,Coihaique,CL,2022-09-20 21:30:25,-45.5752,-72.0662,46.35,61,75,5.75
153,Cabo San Lucas,MX,2022-09-20 21:28:47,22.8909,-109.9124,83.61,86,100,13.8
154,Roebourne,AU,2022-09-20 21:30:25,-20.7833,117.1333,67.41,36,0,10.38
155,Cayenne,GF,2022-09-20 21:26:14,4.9333,-52.3333,77.04,88,0,3.44
156,Black Diamond,US,2022-09-20 21:30:26,47.3087,-122.0032,79.7,38,0,5.99
157,Chimbote,PE,2022-09-20 21:30:27,-9.0853,-78.5783,64.29,77,56,13.53
158,Vallenar,CL,2022-09-20 21:30:27,-28.5708,-70.7581,61.59,41,0,6.51
159,Burgeo,CA,2022-09-20 21:30:27,47.6167,-57.6152,52.32,66,6,2.98
160,Clyde River,CA,2022-09-20 21:30:28,70.4692,-68.5914,30.43,93,100,5.75
161,Winfield,US,2022-09-20 21:30:28,37.2398,-96.9956,101.17,30,0,13.8
